사업명,주관기관,지원금액,지원대상,지원기간,신청기간,사업목적
2024년 K-스타트업 스케일업 프로그램,중소벤처기업부,최대 5억원,성장단계 스타트업,12개월,2024-01-15~2024-02-15,스타트업 성장 지원
2024년 디지털 전환 지원사업,과학기술정보통신부,최대 3천만원,중소기업,6개월,2024-02-01~2024-03-01,디지털 전환 촉진
2024년 AI 기술개발 지원사업,과학기술정보통신부,최대 2억원,AI 기업,18개월,2024-01-20~2024-02-20,AI 기술 혁신
2024년 바이오헬스케어 지원사업,보건복지부,최대 10억원,바이오 기업,24개월,2024-02-10~2024-03-10,바이오헬스케어 발전
2024년 친환경 에너지 지원사업,산업통상자원부,최대 5억원,에너지 기업,12개월,2024-01-25~2024-02-25,친환경 에너지 확산
2024년 스마트팩토리 지원사업,산업통상자원부,최대 3억원,제조업체,18개월,2024-02-05~2024-03-05,스마트팩토리 구축
2024년 소상공인 디지털 지원사업,중소벤처기업부,최대 1천만원,소상공인,6개월,2024-01-10~2024-02-10,소상공인 디지털화
2024년 여성기업 지원사업,중소벤처기업부,최대 2억원,여성기업,12개월,2024-02-15~2024-03-15,여성기업 육성
2024년 사회적기업 지원사업,보건복지부,최대 5천만원,사회적기업,12개월,2024-01-30~2024-02-28,사회적기업 성장
2024년 청년창업 지원사업,중소벤처기업부,최대 3천만원,청년창업가,18개월,2024-02-20~2024-03-20,청년창업 활성화

